JobTitle,JobSubCategories,Clean_Job_title
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Product & Business Analyst Intern - IT Retail,admin.20.24,Product Business Analyst Intern IT Retail
Consultant - Compliance,admin.20.28,Consultant Compliance
HR Operations Specialist (80% - Maternity Cover),admin.2.4,HR Operations Specialist Maternity Cover
Principle Account Manager,admin.45.48,Principle Account Manager
Head of Communication (80-100%),admin.40.43,Head of Communication 
Client Data Management Officer (Ref. 1829),tech.53.55,Client Data Management Officer Ref 
Assistant Manager - Immigration Services 80 % - 100 %,admin.2.2022,Assistant Manager Immigration Services 
"Enterprise Sales Manager, Google Cloud (German)",admin.45.48,Enterprise Sales Manager Google Cloud German
"Account Delivery Executive (Tribe Lead), (w/m/d) 100%",admin.35.38,Account Delivery Executive Tribe Lead 
Verkäufer / Verkäuferin bei Möbel Märki in Rickenbach/TG,admin.45.47,Verkäufer Verkäuferin bei Möbel Märki in RickenbachTG
Verkäufer m/w/d,admin.45.47,Verkäufer 
ingénieur/e DevOps,tech.53.2029,ingénieure DevOps
"Sachbearbeiterin / Sachbearbeiter Rechnungswesen mit Vertiefung MWST, 80 - 100%",admin.9.11,Sachbearbeiterin Sachbearbeiter Rechnungswesen mit Vertiefung MWST 
Geschäftsprozesskoordinator/in,admin.2.2023,Geschäftsprozesskoordinator
Revisionsexpert/in Bau,admin.9.11,Revisionsexpert Bau
Consultant - Financial Services,admin.20.21,Consultant Financial Services
"Mitarbeitender Reception Concierge Services (100%, m/w/d)",service.126.133,Mitarbeitender Reception Concierge Services 
Mitarbeiter/in Marketing / Kommunikation,admin.40.42,Mitarbeiter Marketing Kommunikation
Konstrukteur/in Betriebsmittel,tech.81.83,Konstrukteur Betriebsmittel
Project Manager - Telecom / Energiebranche,tech.53.58,Project Manager Telecom Energiebranche
Entwicklungsingenieur/in Sensorik,tech.72.73,Entwicklungsingenieur Sensorik
Bauingenieur/-in (m/w) - Projektmitarbeiter oder Teil- / Projektleiter in Infrastrukturprojekten,tech.89.93,Bauingenieurin Projektmitarbeiter oder Teil Projektleiter in Infrastrukturprojekten
Key Account Manager / Business Development Manager - Industrie & Engineering Services 60-100%,admin.2.5,Key Account Manager Business Development Manager Industrie Engineering Services 
Internationaler Projektleiter Engineering - Anlagenbau Maschinenbau / Elektrotechnik,tech.72.73,Internationaler Projektleiter Engineering Anlagenbau Maschinenbau Elektrotechnik
"Pflegehilfe SRK (w/m), private Pflege, Region Muri, Kanton Aargau",service.111.115,Pflegehilfe SRK private Pflege Region Muri Kanton Aargau
"Pflegehilfe SRK (w/m), private Pflege, Region Muri, Kanton Aargau",service.111.115,Pflegehilfe SRK private Pflege Region Muri Kanton Aargau
Stellvertretender Filialleiter,admin.45.47,Stellvertretender Filialleiter
Personalberater (m/w/d),admin.2.4,Personalberater 
Immobilien-Vermarkter:in Geschäftsliegenschaften 100 %,admin.9.13,ImmobilienVermarkter Geschäftsliegenschaften 
Sachbearbeiter/in Debitoren,admin.9.11,Sachbearbeiter Debitoren
Senior Manager*in Philanthropie (80 bis 100%),service.120.2033,Senior Manager Philanthropie bis 
Projektleiter:in Einkauf 80-100% (all genders),admin.35.37,Projektleiter Einkauf all genders
Projektleiter (m/w/d),tech.81.84,Projektleiter 
Marketing Manager Italien 100%.,admin.40.41,Marketing Manager Italien 
Geschäftsführer Gebäudetechnik,tech.89.97,Geschäftsführer Gebäudetechnik
Visual Merchandising / International Project Leader 100%,admin.40.41,Visual Merchandising International Project Leader 
Mitarbeiter:in Customer Service 100%,admin.45.49,Mitarbeiter Customer Service 
Profi in Schleiftechnik (m/w) 100%,tech.81.85,Profi in Schleiftechnik 
HR Business Partner 80-100%,admin.2.4,HR Business Partner 
GESUCHT: Recruiter:in 60-80%,admin.2.4,GESUCHT Recruiter 
Payroll Specialist:in 80-100%,admin.2.4,Payroll Specialist 
HR Generalist:in 70-80%,admin.2.4,HR Generalist 
HR Business Partner:in 80%,admin.2.4,HR Business Partner 
Sachbearbeiter:in Payroll 100%,admin.2.4,Sachbearbeiter Payroll 
Specialist Food Safety Data,service.126.132,Specialist Food Safety Data
IT-System Spezialist (m/w) 100%,tech.53.59,ITSystem Spezialist 
HR Generalist:in 80-100%,admin.2.4,HR Generalist 
HR Manager:in 100%,admin.2.4,HR Manager 
Verkäuferin / Verkäufer avec,admin.45.47,Verkäuferin Verkäufer avec
Data Science Associate Specialist,tech.66.70,Data Science Associate Specialist
Senior Specialist Physical Energy,tech.66.70,Senior Specialist Physical Energy
Fachmann-/frau Hauswirtschaft EFZ 100% (mit Berufsbildner),service.126.129,Fachmannfrau Hauswirtschaft EFZ mit Berufsbildner
"Corporate Receptionist befristet 6.12.22 - 6.01.23 (100%, w/m/d)",service.126.133,Corporate Receptionist befristet 
Betriebsleiterassistent (m/w/d) 100%,service.126.127,Betriebsleiterassistent 
Mitarbeiter/in Überzugsmanagement/Recovery 40% in Basel,admin.9.14,Mitarbeiter ÜberzugsmanagementRecovery in Basel
Product Engineer Travel Gear 80-100% (w/m),service.136.138,Product Engineer Travel Gear 
Zolldeklarant/in Export 80-100% (m/w/d),admin.35.39,Zolldeklarant Export 
CRM Professional 80-100%,admin.45.51,CRM Professional 
Mitarbeiter/in Verkauf Innendienst Verpackungen (80 - 100%),admin.45.49,Mitarbeiter Verkauf Innendienst Verpackungen 
Sachbearbeiter:in Kreditorenbuchhaltung 100% (m/w/d) - Zentrale Bern,admin.9.2024,Sachbearbeiter Kreditorenbuchhaltung Zentrale Bern
Junior Trade & Online Marketing Manager (100%),admin.40.2025,Junior Trade Online Marketing Manager 
Mitarbeiter:in Kundenservice,service.126.135,Mitarbeiter Kundenservice
Mécatronicien(ne) automobile,tech.101.102,Mécatronicienne automobile
Einkäufer/in 100%,admin.35.37,Einkäufer 
"Verantwortliche/r Qualität, Sicherheit und Umwelt",admin.2.2023,Verantwortlicher Qualität Sicherheit und Umwelt
"Fachfrau/-mann Hauswirtschaft, Stv. Teamleitung Reinigung 60-80%",service.126.134,Fachfraumann Hauswirtschaft Stv Teamleitung Reinigung 
Montagemitarbeiter/in,tech.81.86,Montagemitarbeiter
Stationsleiter/-in Nachtwache,service.111.115,Stationsleiterin Nachtwache
Collaborateur au Service Interne (all genders) pour notre Agence Générale de Genève Rive-Gauche,admin.20.31,Collaborateur au Service Interne all genders pour notre Agence Générale de Genève RiveGauche
Conseiller en prévoyance (all genders) pour notre bureau de vente de Morges,admin.20.31,Conseiller en prévoyance all genders pour notre bureau de vente de Morges
Support Technique Fibre (2ième niveau) bilingue à Bienne 100% - Home office jusqu'à 40%,tech.53.61,Support Technique Fibre ième niveau bilingue à Bienne Home office jusquà 
Projektleiter/-in Kantonsplanung 60%,tech.89.90,Projektleiterin Kantonsplanung 
Polizist/in,service.140.142,Polizist
Mitarbeiter Hotellerie in der Pflege 50% - 100% (m/w),service.111.116,Mitarbeiter Hotellerie in der Pflege 
Teamleiter Kundenberatung (a),admin.20.31,Teamleiter Kundenberatung a
Price and Sales Coordinator (m/w/d) 100%,admin.45.49,Price and Sales Coordinator 
Mitarbeiter Empfang im Migrationsbereich (m/w/d/) - Thun,service.140.141,Mitarbeiter Empfang im Migrationsbereich Thun
Koch/Köchin 100 %,service.126.128,KochKöchin 
Leiter/in Business Development Gastronomie/Freizeit,admin.20.150,Leiter Business Development GastronomieFreizeit
"Jurist:innen als Rechtsvertretung, 80%-100%, Altstätten",admin.2.7,Juristnen als Rechtsvertretung Altstätten
Mitarbeiter/in Portierdienste,service.126.133,Mitarbeiter Portierdienste
Koch / Köchin,service.126.128,Koch Köchin
"Projektleiterin Pflegeentwicklung (m/w), 80 - 100%",admin.2.3,Projektleiterin Pflegeentwicklung 
Kostenteilexpert:in,admin.9.10,Kostenteilexpert
Senior Cloud System Architect 80- 100%,tech.53.2027,Senior Cloud System Architect 
Servicetechniker Raum Muttenz - Rheinfelden - Sissach (m/w),tech.89.97,Servicetechniker Raum Muttenz Rheinfelden Sissach 
TECHNISCHE(R) CAD-SUPPORTMITARBEITER(IN) 60-100%,tech.89.90,TECHNISCHER CADSUPPORTMITARBEITERIN 
Aushilfe (m/w) 20-40%,admin.45.47,Aushilfe 
Fachspezialist:in Messtechnik,tech.72.79,Fachspezialist Messtechnik
Apotheker als Geschäftsführer (w/m),tech.66.67,Apotheker als Geschäftsführer 
Fullstack Java/Angular Developer,tech.53.57,Fullstack JavaAngular Developer
Adjoint au responsable TopShop H/F/D,admin.45.47,Adjoint au responsable TopShop HFD
"Dipl. Pflegefachperson HF/FH, DN II, AKP, PsyKP als Nachtwache (a)",service.111.115,Dipl Pflegefachperson HFFH DN II AKP PsyKP als Nachtwache a
"Fachspezialist (a) Patienten-, Leistungs- & Tarifmanagement",admin.2.155,Fachspezialist a Patienten Leistungs Tarifmanagement
Information Security Manager (f/m/d),tech.53.54,Information Security Manager 
Retention Manager:in 80 - 100%,admin.40.36,Retention Manager 
Berater:in / Projektleiter:in Media & Content,admin.40.36,Berater Projektleiter Media Content
Programmleiter*in Ökosystementwicklung E-Government,admin.2.6,Programmleiter Ökosystementwicklung EGovernment
Systemingenieur/in elo Op (Wirtschaftsinformatiker/in Professional),tech.53.55,Systemingenieur elo Op Wirtschaftsinformatiker Professional
Lernende/r Köchin/Koch EFZ,service.126.128,Lernender KöchinKoch EFZ
expert/e en révision dans le secteur de la construction,admin.9.11,experte en révision dans le secteur de la construction
Technische/r Mitarbeiter/in in der Anmeldestelle Chemikalien,tech.66.71,Technischer Mitarbeiter in der Anmeldestelle Chemikalien
ICT Helpdesk-Mitarbeiter/in,tech.53.61,ICT HelpdeskMitarbeiter
DevOps Engineer,tech.53.2029,DevOps Engineer
Spezialist/in Elektrotechnik,tech.72.73,Spezialist Elektrotechnik
collaborateur/trice Helpdesk ICT,tech.53.61,collaborateurtrice Helpdesk ICT
Linienführerin / Linienführer Produktion Snacks und Zutaten,tech.81.86,Linienführerin Linienführer Produktion Snacks und Zutaten
Vorsorgeberater (all genders) für unsere Generalagentur Basel Vorsorge & Vermögen,admin.20.30,Vorsorgeberater all genders für unsere Generalagentur Basel Vorsorge Vermögen
"Übersetzerin / Übersetzer Deutsch - Französisch, 70%",admin.2.155,Übersetzerin Übersetzer Deutsch Französisch 
"Kundenberaterin / Kundenberater Depositenkasse, 30%",admin.9.2024,Kundenberaterin Kundenberater Depositenkasse 
Praktikantin / Praktikant Ausbildung/Lernendenbetreuung,admin.2.4,Praktikantin Praktikant AusbildungLernendenbetreuung
Pistenfahrzeugmechaniker (m/w/d) 100 %,tech.101.102,Pistenfahrzeugmechaniker 
Servicetechniker Baumaschinen (m/w/d) Region Basel 60-100%,tech.72.151,Servicetechniker Baumaschinen Region Basel 
"Project Specialist - Programme, Speaker & Abstract Management",admin.20.150,Project Specialist Programme Speaker Abstract Management
Juriste en protection juridique (all genders) Winterthur / Smart Working,admin.20.33,Juriste en protection juridique all genders Winterthur Smart Working
Kundenbetreuer/in Claims Berufliche Vorsorge (all genders),admin.20.33,Kundenbetreuer Claims Berufliche Vorsorge all genders
Business Intelligence Frontend-Specialist (all genders),tech.53.56,Business Intelligence FrontendSpecialist all genders
Specialist Robotics (all genders),tech.53.59,Specialist Robotics all genders
Kundenberater Customer Service Center CSC (w/m/d),admin.45.50,Kundenberater Customer Service Center CSC 
Wir suchen per sofort: Busfahrer-/ In Vollzeit,tech.101.109,Wir suchen per sofort Busfahrer In Vollzeit
Mitarbeiter/in Verkauf und Nebenbetrieb 50-70%,admin.45.48,Mitarbeiter Verkauf und Nebenbetrieb 
Conseiller à la clientèle Customer Service Center CSC (f/h/d),admin.45.50,Conseiller à la clientèle Customer Service Center CSC fhd
Sachbearbeiter*in Bewirtschaftung,admin.9.13,Sachbearbeiter Bewirtschaftung
Hauswart*in,tech.101.19,Hauswart
Un(e) Content & Digital Marketing Manager (100%),admin.40.41,Une Content Digital Marketing Manager 
Mitarbeiter Visual / Polydesigner 3D EFZ 50%,tech.89.91,Mitarbeiter Visual Polydesigner D EFZ 
Technische/r Berater/in (m/w/d) im Aussendienst für Spanntechnik,tech.72.2032,Technischer Berater im Aussendienst für Spanntechnik
"Projektentwickler*in Real Estate, Early Stage Design (Corporate Start-Up) 80-100%",admin.20.150,Projektentwickler Real Estate Early Stage Design Corporate StartUp 
Conseiller:ère en assurance canton de Vaud 80-100%,admin.20.31,Conseillerère en assurance canton de Vaud 
Sanitär Techniker*in,tech.101.19,Sanitär Techniker
Business Application Manager (100%),tech.53.62,Business Application Manager 
Administrative Unterstützung Integration FL/VA,admin.2.3,Administrative Unterstützung Integration FLVA
Technischer Objektleiter,tech.101.19,Technischer Objektleiter
Immobilienbewirtschafter*in,admin.9.13,Immobilienbewirtschafter
Responsable de service à la clientèle agence générale Fribourg 80-100%,tech.72.151,Responsable de service à la clientèle agence générale Fribourg 
Flottenmanager (all genders) 80 -100 %,admin.35.38,Flottenmanager all genders 
"Detailhandelsfachfrau/-mann, 50% - 60%, Oftringen",admin.45.47,Detailhandelsfachfraumann Oftringen
"Detailhandelsfachfrau/-mann, 60% im Stundenlohn, Spreitenbach",admin.45.47,Detailhandelsfachfraumann im Stundenlohn Spreitenbach
Restaurant Manager*,service.126.127,Restaurant Manager
Technische/r Verkäufer/in | Verkaufstechniker/in,tech.72.2032,Technischer Verkäufer Verkaufstechniker
"VERKAUFSMITARBEITER FÜR BÄCKEREI-FILIALE, VOLL- ODER",admin.45.48,VERKAUFSMITARBEITER FÜR BÄCKEREIFILIALE VOLL ODER
Collaborateur/collaboratrice de vente Confection Messieurs 25% (m/f/d),admin.45.48,Collaborateurcollaboratrice de vente Confection Messieurs 
Verkäufer Teilzeit (M/W/D),admin.45.47,Verkäufer Teilzeit 
Sport Leader / Verkaufsberater 40% (m/w),admin.2.154,Sport Leader Verkaufsberater 
Verkaufsberater/in ca. 20%,admin.45.48,Verkaufsberater ca 
Prozessmanager Beschaffung (a),admin.35.37,Prozessmanager Beschaffung a
Verkaufsberater/in (80-100%),admin.45.48,Verkaufsberater 
Production Engineer (a),tech.81.83,Production Engineer a
Verkaufsmitarbeiter/in Textilpflege 20-80%,admin.45.48,Verkaufsmitarbeiter Textilpflege 
Sales Manager (m/w/d),admin.45.48,Sales Manager 
Logistiker Wareneingang (a),admin.35.38,Logistiker Wareneingang a
Spezialist Beschaffungssupport (a),admin.35.37,Spezialist Beschaffungssupport a
Verkaufs-Profi m/w 100%,admin.45.48,VerkaufsProfi 
Vendeur (f/m/d),admin.45.48,Vendeur 
Vendeur (f/m/d),admin.45.48,Vendeur 
Collaboratore vendita (m/f/x) 40 - 60%,admin.45.48,Collaboratore vendita mfx 
Umweltjuristin / Umweltjurist,admin.2.7,Umweltjuristin Umweltjurist
Projektleiter Bauprojekte (a),tech.89.93,Projektleiter Bauprojekte a
Collaborateur*trice de Vente 30%,admin.45.48,Collaborateurtrice de Vente 
Sales Administrator (80-100%),admin.45.49,Sales Administrator 
Scientific Associate in Clinical Manufacturing Unit for Solids,service.120.122,Scientific Associate in Clinical Manufacturing Unit for Solids
Mitarbeiter Verkauf (m/w/d) 50%,admin.45.48,Mitarbeiter Verkauf 
Mitarbeiter Verkauf (m/w/d) 60 - 80%,admin.45.48,Mitarbeiter Verkauf 
Chef* de Service (Tagesbetrieb Dienstag bis Samstag),service.126.129,Chef de Service Tagesbetrieb Dienstag bis Samstag
Praktikant/in Detailhandelsfachmann/frau,admin.45.47,Praktikant Detailhandelsfachmannfrau
Key Account Manager International und Mitinhaber (m/w),admin.2.154,Key Account Manager International und Mitinhaber 
Key Account Manager International und Mitinhaber (m/w),admin.2.154,Key Account Manager International und Mitinhaber 
Conseiller:ère en assurance région Genève 80-100%,admin.20.31,Conseillerère en assurance région Genève 
Dipl. Fachperson Operationstechnik 60-100%,service.111.115,Dipl Fachperson Operationstechnik 
Requirements Engineer M365,tech.53.2027,Requirements Engineer M
Dipl. Pflegefachfrau/-mann / Dipl. Radiologiefachfrau/-mann Herzkatheterlabor / Neurosuite 80–,service.111.115,Dipl Pflegefachfraumann Dipl Radiologiefachfraumann Herzkatheterlabor Neurosuite –
Brand Manager Today 70-100% (a),admin.40.44,Brand Manager Today a
Dozent/-in Human Capital 80 - 100 %,admin.2.3,Dozentin Human Capital 
Kundenberatung Inbound Helvetia Service Center (w/m/d) Teilzeit/Vollzeit,admin.20.27,Kundenberatung Inbound Helvetia Service Center TeilzeitVollzeit
Sachbearbeiter (w/m) Antragsservices Private Vorsorge (medizinische Risikoprüfung),admin.20.31,Sachbearbeiter Antragsservices Private Vorsorge medizinische Risikoprüfung
Beschaffungsspezialistin / Beschaffungsspezialist,admin.35.37,Beschaffungsspezialistin Beschaffungsspezialist
Kundenberatung Helvetia Service Center Team 6 (w/m/d) Teilzeit/Vollzeit,admin.20.31,Kundenberatung Helvetia Service Center Team TeilzeitVollzeit
Schadenexperte Sachversicherungen (w/m/d) Vollzeit/Teilzeit,admin.20.33,Schadenexperte Sachversicherungen VollzeitTeilzeit
Kommissionierer/in,tech.81.86,Kommissionierer
Verpackerinnen,tech.81.86,Verpackerinnen
Kundenberater (w/m/d) Versicherung Münchenstein Teilzeit/Vollzeit,admin.20.31,Kundenberater Versicherung Münchenstein TeilzeitVollzeit
Produktionsmitarbeiter/in Montage (100%),tech.81.86,Produktionsmitarbeiter Montage 
"Underwriter Sachversicherungen (w/m/d), Teilzeit/Vollzeit",admin.20.34,Underwriter Sachversicherungen TeilzeitVollzeit
BetriebsmitarbeiterIn Käsevorbereitung 100%,tech.81.86,BetriebsmitarbeiterIn Käsevorbereitung 
Kundenberatung (w/m/d) Versicherung Region Zimmerberg Teilzeit/Vollzeit,admin.20.31,Kundenberatung Versicherung Region Zimmerberg TeilzeitVollzeit
Mitarbeiter Produktion Abfüllung m/w/d,tech.81.86,Mitarbeiter Produktion Abfüllung 
Betriebsmitarbeiter Abfüllung Pharma (m/w/d),tech.66.70,Betriebsmitarbeiter Abfüllung Pharma 
Kundenberater (w/m/d) Versicherung Binningen-Bottmingen Teilzeit/Vollzeit,admin.20.31,Kundenberater Versicherung BinningenBottmingen TeilzeitVollzeit
Lehrstelle als Detailhandelsfachmann/-fachfrau Fachrichtung Beratung,admin.45.47,Lehrstelle als Detailhandelsfachmannfachfrau Fachrichtung Beratung
Fallführende/r Psychologin/Psychologe 80 %,service.111.117,Fallführender PsychologinPsychologe 
Produktionsmitarbeiter (m/w/d),tech.81.86,Produktionsmitarbeiter 
Produktionsmechaniker 80-100% (m/w),tech.81.76,Produktionsmechaniker 
Betriebsmitarbeiter Office (m/w/d) 100% - Ebikon LU,service.126.128,Betriebsmitarbeiter Office Ebikon LU
IT Projektleiter/in 100 %,tech.53.55,IT Projektleiter 
Betriebsmitarbeiter Front (m/w/d) 60-80% -Ebikon LU,service.126.129,Betriebsmitarbeiter Front Ebikon LU
Administrative/r Mitarbeiter/in IT 50 %,admin.2.3,Administrativer Mitarbeiter IT 
Betriebsmitarbeiter/in (m/w/d) auf Abruf,tech.101.19,Betriebsmitarbeiter auf Abruf
Produktionsmitarbeiter per sofort gesucht mit Aussicht auf Festanstellung,tech.81.86,Produktionsmitarbeiter per sofort gesucht mit Aussicht auf Festanstellung
Produktionsmitarbeiterin / Produktionsmitarbeiter Snacks und Zutaten,tech.81.86,Produktionsmitarbeiterin Produktionsmitarbeiter Snacks und Zutaten
Produktionsmitarbeiter WOCHENENDE,tech.81.86,Produktionsmitarbeiter WOCHENENDE
Betriebsmitarbeiter/in Metallhalle,tech.81.86,Betriebsmitarbeiter Metallhalle
Med. Praxisassistent/in Ambulatorium Nephrologie,service.111.113,Med Praxisassistent Ambulatorium Nephrologie
Betriebsmitarbeiterinnen Verpackung 100%,tech.66.70,Betriebsmitarbeiterinnen Verpackung 
Business Controller/in Bereichsmanagement und Controlling,admin.9.12,Business Controller Bereichsmanagement und Controlling
Molekularbiologin/Molekularbiologe in der genetischen Diagnostik,tech.66.68,MolekularbiologinMolekularbiologe in der genetischen Diagnostik
Orthoptist/in,service.111.1283,Orthoptist
Teamleiter*in Netzwerk Team,tech.53.57,Teamleiter Netzwerk Team
Abteilungsleiter*in Strategisches IT Management,tech.53.55,Abteilungsleiter Strategisches IT Management
Lehrperson für Hauswirtschaft,service.120.123,Lehrperson für Hauswirtschaft
"Sachbearbeiter/in Datenbewirtschaftung 80%, mit Stv. der Teamleitung",admin.20.23,Sachbearbeiter Datenbewirtschaftung mit Stv der Teamleitung
Arbeitsagoge/in HFP / Dipl. Arbeitsagoge/in (100 %),service.120.125,Arbeitsagoge HFP Dipl Arbeitsagoge 
Produktionsmitarbeiter im 4-Schichtbetrieb (m/w/d),tech.81.82,Produktionsmitarbeiter im Schichtbetrieb 
Betriebsmitarbeiter,tech.81.86,Betriebsmitarbeiter
Betriebsangestellte (m/w) 60%,tech.81.86,Betriebsangestellte 
Produktionsmitarbeiter NACHTSCHICHT,tech.81.86,Produktionsmitarbeiter NACHTSCHICHT
Betriebsmitarbeiter/in 80% - 100%,tech.101.19,Betriebsmitarbeiter 
Un(e) Magasinier(ère),tech.66.69,Une Magasinierère
Betriebsmitarbeiter (m/w),tech.81.86,Betriebsmitarbeiter 
Betriebsmitarbeiter/in Hausdienst 100%,tech.101.19,Betriebsmitarbeiter Hausdienst 
Fachärztin / Facharzt für Allgemeine Innere Medizin mit Interesse an Sportmedizin (60-100%),service.111.1283,Fachärztin Facharzt für Allgemeine Innere Medizin mit Interesse an Sportmedizin 
Betriebsmitarbeiter Sortierplatz (m/w/d),tech.81.86,Betriebsmitarbeiter Sortierplatz 
"Automobil-Fachmann, Automobil-Mechatroniker, Automechaniker, (m/w)",tech.101.102,AutomobilFachmann AutomobilMechatroniker Automechaniker 
System Manager,admin.45.48,System Manager
Assistenz Verkauf 80-100%-befristet für 3 Monate (mit Option auf Verlängerung),admin.45.49,Assistenz Verkauf befristet für Monate mit Option auf Verlängerung
Apotheker/in,tech.66.67,Apotheker
Projectleader Construction Management,tech.89.90,Projectleader Construction Management
Betriebsmechaniker*in Olten,tech.81.86,Betriebsmechaniker Olten
"Mediensprecher/-in 80 - 100%, mit Schwerpunkt Social Media (optional)",admin.40.44,Mediensprecherin mit Schwerpunkt Social Media optional
Wissenschaftliche*r Mitarbeiter*in für Studienleitung und Weiterentwicklung CAS Medication Safety,service.120.122,Wissenschaftlicher Mitarbeiter für Studienleitung und Weiterentwicklung CAS Medication Safety
Kundenberater/in Privatkunden Basis,admin.20.27,Kundenberater Privatkunden Basis
Site Reliability Engineer (Junior) w/m/d,tech.53.59,Site Reliability Engineer Junior 
Kundenberater Basis / Springer (w/m/d),admin.20.27,Kundenberater Basis Springer 
Software Engineer - Front-End Engineer Angular,tech.53.59,Software Engineer FrontEnd Engineer Angular
Agile Requirements Engineer,tech.53.60,Agile Requirements Engineer
Learning & Development Intern,admin.2.4,Learning Development Intern
