jobtitle,jobsubcategories
Kommunikationsbeauftragte Dept. Technische Betriebe,['admin.40.43']
Fachperson Operationstechnik,['service.111.115']
Tecnico di sala operatoria,['admin.2.3']
Ersatzteilverkäufer / Detailhandelsfachmann,['admin.45.47']
Assistenz Niederlassungsleiter,['admin.20.23']
Stationselektriker Instandhaltung Anlagen,['tech.81.87']
OP Pflegefachmann OTA,['service.111.115']
Immobilienentwickler,['tech.89.90']
Immobilienbewirtschafter mit eidg. Fachausweis,['admin.9.13']
Immobilien-Bewirtschafter,['admin.9.13']
Immobilienbewirtschafter,['admin.9.13']
Vermietungsspezialist Wohnen,['admin.9.13']
Junior Immobilienbewirtschafter,['admin.9.13']
Junior-Bewirtschafter,['admin.9.13']
Betriebsleiterin/Bademeisterin bzw. einen Betriebsleiter/Bademeister,['service.145.147']
Scrum Master,['tech.53.58']
Management Controller,['admin.9.12']
Light Microscopy Expert,['tech.66.68']
ICT Helpdesk Mitarbeiter,['tech.53.61']
Senior Technical Lead Big Data,['tech.53.56']
IT-System Administrator,['tech.53.2029']
Technicien qualité,['tech.66.71']
SysOps Engineer,['tech.53.55']
Resp. de projets électricité VS,['tech.89.74']
IT-Systemtechniker im Support,['tech.53.60']
C# .NET Fullstack/Web Entwickler im C# / .NET Bereich,['tech.53.2027']
Fiscaliste,['admin.9.10']
Senior consultante réviseur-comptable,['admin.9.10']
Senior Relationship Manager,['admin.20.21']
Filialleiter,['admin.45.47']
Automobil-Mechatroniker  -Fachmann,['tech.101.102']
Mitarbeiter IT-Support,['tech.53.61']
Comptable fiduciaire junior,['admin.9.11']
Sachbearbeiter Verkaufskalkulation,['admin.2.155']
Educateurs,['service.120.125']
Junior IT System Engineer,['tech.53.61']
Partner Operation Manager,['admin.20.150']
Software-Supporter,['tech.53.61']
Junior Application Manager,['tech.53.59']
Informatiker,['tech.53.58']
IT Supporter,['tech.53.61']
IT System Engineer,['tech.53.60']
Dipl. Logopädin / Logopäden,['service.120.124']
Dipl. Logopäde,['service.120.124']
ImmobilienbewirtschafterIN mit Fachausweis  in Ausbildung dazu,['admin.9.13']
Betreuer|in Stockwerkeigentum,['admin.9.13']
Immobilienberater,['admin.9.13']
Junior Portfoliomanagerin / Projektmanager,['tech.89.93']
Un,['admin.9.13']
Fachexperte Wärmepumpen,['service.111.115']
Immobilienenbewirtschafter,['admin.2.154']
Servicetechniker Heizungen Wärmepumpen,['tech.89.100']
Lehrstelle als Sanitärinstallateur,['tech.89.97']
Servicetechniker Lüftung/Heizung,['tech.89.100']
Regional Communication Manager,['admin.40.43']
Communication and/or Technology Managers for Smart City research project,['admin.40.42']
HR-Generalist,['admin.2.4']
Französisch-sprechende/-er Junior HR Allrounder,['admin.2.4']
Oberärztin / Oberarzt  Leitende Ärztin / Leitender Arzt Klinik Rheumatologie und Schmerzmedizin,['service.111.1283']
Servicetechniker Flurförderzeuge,['tech.81.87']
Betriebsmitarbeiter Stahlwerk,['tech.81.86']
Montageleiter Photovoltaik,['tech.89.74']
Head of Talent Acquisition,['admin.2.4']
Sachbearbeiter Ämter & Erbschaften,['admin.20.23']
Product Manager Medical Genetics,['admin.40.36']
Kaufmännischer Mitarbeiter Photovoltaik,['admin.2.3']
"Elektroinstallateur, Multimediaelektroniker, Elektroniker, Techniker Audio/Video",['tech.72.79']
Kandidat klinische Chemie FAMH,['service.111.1282']
Teamleiter Qualitätsmanagement,['tech.66.71']
IT Trainee Digital Solutions,['tech.81.86']
Technology & Solution Engineer,['tech.53.55']
Anlagenführer,['admin.35.38']
Teamleiter Steuerungstechnik,['tech.81.82']
Praktikum Betriebliches Gesundheitsmanagement & Human Resources,['admin.2.4']
Trainee Marketing Strategie & Planung,['admin.40.36']
Gebietsverkaufsleiter Region Ostschweiz und Glarus,['admin.45.2026']
Leiterin,['admin.2.3']
ESG Controller,['admin.9.12']
Vertriebsmitarbeiter im Außendienst,['admin.45.48']
Fachspezialist Verfahrenstechnik,['tech.81.82']
Junior Category Manager Worktops,['admin.45.51']
Junior Kundenberater Personal Banking,['admin.20.21']
HR Specialist,['admin.2.4']
Innovation Process Engineer Thermal,['tech.66.69']
HR-Fachfrau/-Fachmann,['admin.2.4']
Servicetechniker/Instandhaltungsmechaniker,['tech.81.87']
HR-Fachmann mit eidg. Fachausweis,['admin.2.4']
STATIONSLEITERIN MEDIZIN,['service.111.115']
Afficheur,['tech.89.98']
Mitarbeiter Mechanik - Polymechaniker,['tech.72.75']
OBERÄRZTIN MEDIZIN,['service.111.1283']
Sachbearbeiterin HR,['admin.2.4']
"LEITER SOURCING, EMPLOYER BRANDING UND RECRUITING",['admin.2.4']
Sachbearbeiter Kundencenter - Team Karten,['admin.2.155']
Leitung Marketing & Media,['admin.40.41']
Business Analyst/Requirement Engineer,['tech.53.55']
Event Assistent,['service.126.127']
Fachexperte Heißkanal- und Regeltechnik,['tech.72.79']
Recruiter/HR Business Partner,['admin.2.4']
Technischer Sachbearbeiter Ersatzteile,['admin.35.38']
Werkstatt-Mechaniker,['tech.81.87']
Lehrstelle Kauffrau / Kaufmann EFZ Handel,['admin.35.39']
Area Sales Manager,['admin.45.156']
Hauswirtschaftsmitarbeiter,['service.126.134']
Strategischer Einkäufer,['admin.35.37']
Infirmier en soins à domicile,['service.111.115']
Infirmiers terrain ou ASSC,['service.111.115']
Mitarbeiter Revierdienst,['service.140.141']
Fachperson Gesundheit interdisziplinäre Station Innere Medizin und Altersmedizin,['service.111.115']
Fachfrau Gesundheit EFZ,['service.111.1283']
Temporär als Fachfrau Gesundheit EFZ in Bern arbeiten,['service.111.1283']
Fachfrau Gesundheit,['service.111.115']
Fachmann/Fachfrau Hauswirtschaft EFZ,['service.126.134']
FACHMANN GESUNDHEIT,['service.111.115']
Medizinische Praxisassistent,['service.111.113']
Teamleitung Gesundheit und Pflege,['service.111.116']
Ausbildung als Fachmann Operationstechnik,['admin.2.3']
Mitarbeiter Equipe,['service.126.134']
Mitarbeiterin / Mitarbeiter Hausdienst,['tech.101.19']
Comptable fiduciaire,['admin.9.11']
Fachexpertin / Fachexperte Finanzaufsicht,['service.120.121']
Verantwortliche Rechnungswesen,['admin.9.2024']
Absenz-/Casemanagement,['admin.2.4']
HR Business Partner,['admin.2.4']
Human Ressource Manager group,['admin.2.4']
HR Manager,['admin.2.4']
HR,['admin.2.4']
HR Generalist,['admin.2.5']
Fachspezialist HR Reporting & Systeme,['admin.2.4']
HR Manager DE/ENG,['tech.81.86']
HR Operations Specialist,['admin.2.4']
hr fachfrau / hr fachmann,['admin.2.4']
HR Fachperson,['admin.2.4']
Technischer Allrounder,['tech.101.102']
Anlageführer,['tech.81.86']
Fitness Instructor,['service.145.147']
Teamleiter Disposition Fracht,['admin.35.38']
Berufsbildner Lehrwerkstatt Mechanik,['tech.81.86']
Lehrstellen als Kauffrau  EFZ,['admin.2.3']
Technische Allrounder / Facility Manager,['tech.101.19']
HR Manager / Business Partner,['admin.2.4']
Technischer Hauswart,['tech.101.19']
Abteilungsleiter Systems Engineering,['tech.66.69']
Technischer Verkäufer im Aussendienst,['admin.45.48']
Mitarbeiter Event und technischer Support,['service.120.121']
Logistiker Storage,['admin.35.38']
Schleifer,['tech.81.76']
Responsable RH,['admin.2.4']
Finance Controller,['admin.9.12']
Gesamt-Projektleiter Infrastrukturbau,['tech.89.90']
Projekt-Praktikant Logistik SAP,['admin.35.38']
Projektleiter Gebäudeautomation,['tech.72.79']
Junior Graphic Designer / Polygraf,['service.136.138']
Schutztechniker,['tech.89.74']
Lagermitarbeiter,['admin.35.38']
Sales Tools Specialist,['tech.53.62']
Conseiller*ère Clientèle privée Placement en ligne,['admin.20.21']
Leiter Montage Grossleitungsbau,['tech.72.79']
Applikations-Entwickler,['tech.53.57']
Mitarbeiter Probenvorbereitung,['tech.66.69']
Chemielaborant,['tech.66.69']
Projektmanager Digital Health Services,['tech.53.58']
Team Leader Trade Marketing DACH,['admin.40.41']
Leiter Personal und Bildung,['admin.2.4']
High Voltage & Power Distribution Engineer,['tech.72.73']
Junior Projektleiter Elektroinstallationen,['tech.89.74']
Business Analyst Senior,['tech.53.55']
CNC Produktionsmechaniker,['tech.81.86']
Allrounder Warehouse/Logistic,['admin.35.38']
"1 Zierpflanzengärtner und 1 Landschaftsgärtner, je",['tech.89.92']
Group Fitness Instructor diverse Stilrichtungen,['service.145.147']
Mechaniker im Tagesbetrieb und,['tech.81.85']
Projekleiter,['admin.9.11']
Sales Account Manager Diagnostics,['admin.45.2026']
Stagiaire RH,['admin.2.4']
HR-Generalistin,['admin.2.4']
Koordinator Sicherheit & Informatik,['service.140.141']
Match Day Operator,['admin.2.2023']
Fallbearbeitung SOS Beobachter,['admin.2.155']
Mitarbeiter Retouren online,['admin.2.155']
Full Stack Entwickler,['tech.53.2027']
Mitarbeiter Betreuung,['service.111.116']
Verantwortliche HR Administration,['admin.2.4']
Teamleiter Marketing Communication,['admin.40.41']
Spontanbewerbung,['admin.2.6']
Schwimmassistentin / Schwimmassistent 5 1/2 Stunden pro Woche,['service.111.116']
Marketingassistent,['admin.40.41']
Hilfsköchin / Hilfskoch,['service.126.128']
Sachbearbeiter Steuerstreitigkeiten und Streitbeilegung,['admin.2.155']
Koch/Köchin EFZ,['service.126.128']
Revisor und Kundenbetreuer,['admin.9.10']
Elektroinstallateur in deiner Region,['tech.72.73']
Technische Sachbearbeiter,['tech.89.74']
Spécialiste RH,['admin.2.4']
Key Account Manager Energieholz,['admin.45.156']
Anlagenwart Ottenbach,['tech.101.105']
HR Business PartnerIn Corporate Functions,['admin.2.4']
HR Business Partner Corporate Functions,['admin.2.4']
HR Business Partner Grid,['admin.2.4']
Fachfrau / Fachmann Information und Dokumentation,['tech.53.55']
Operative Einkäufer,['admin.35.37']
Technischer Kaufmann / Kauffrau Lieferanten-Management,['admin.35.37']
Kundenprojektleiter,['tech.81.85']
Fachmann internationale Spedition und Logistik,['admin.45.49']
Buying Assistant Home & Lifestyle,['admin.35.37']
Fachperson Textilpflege,['tech.101.107']
Servicetechniker Heizung,['tech.89.100']
Sachbearbeiter Rechnungswesen,['admin.9.2024']
Buchhalter,['admin.9.11']
Drucktechnologe | Organisation und Avor im Bereich Digitaldruck,['service.136.137']
FaGe PFLEGEDIENST,['service.111.115']
FAGE UND BERUFSBILDNERIN PFLEGEDIENST/AKUTGERIATRIE,['service.111.115']
Fachfrau  Fachmann Gesundheit,['service.111.116']
Fachperson Gesundheit,['service.111.116']
Fachfrau Gesundheit  Med. Praxisassistent,['service.111.113']
Pflegefachfrau,['service.111.115']
Wiedereinsteigerin mit Abschluss als Dipl. Pflegefachfrau,['service.111.115']
Pharma-Assistent / Fachfrau/Fachmann Apotheke EFZ,['tech.66.70']
Produktionschemiker,['tech.66.69']
Fachmann Betriebsunterhalt EFZ Fachrichtung Hausdienst,['tech.81.86']
Lehrstelle Lehrstelle als Fachmann Betriebsunterhalt EFZ,['tech.81.86']
Leiterin / Leiter Facility Management Einkaufszentren Region Ostschweiz-Ticino,['tech.101.19']
1 Lehrstelle Fachmann Betriebsunterhalt EFZ / Per 01. August 2023,['tech.81.86']
Lehrstelle Fachmann Betriebsunterhalt EFZ/EBA,['tech.81.86']
Fachmann Betriebsunterhalt,['tech.81.86']
Lehrstelle Betriebsunterhalt 2023,['tech.81.86']
Hauswart,['tech.101.19']
Hauswart / Hausmeister temp,['tech.66.70']
Facharbeiter Strassenunterhalt,['tech.89.94']
"Landschaftsgärtner, Gartenbauarbeiter - TOP LOHN",['tech.89.92']
Landschaftsgärtner/Gartenbauarbeiter gesucht- Su,['tech.89.92']
Mitarbeiter Baudienst,['tech.101.19']
Fachfrau/Fachmann Betriebsunterhalt,['tech.101.19']
Schnupperlehre als Fachfrau / Fachmann Betriebsunterhalt EFZ,['tech.81.86']
Objektmitarbeiter in Rotkreuz | Hälg Group,['tech.101.19']
FACHFRAU / FACHMANN BETRIEBSUNTERHALT,['tech.101.19']
Facharbeiter Autobahnunterhalt,['tech.89.94']
Gärtner  Fachmann Betriebsunterhalt mit Schwerpunkt Garten,['tech.89.92']
LEHRSTELLE FACHMANN BETRIEBSUNTERHALT EFZ,['tech.101.19']
Lehrstelle Betriebsunterhalt EFZ,['tech.81.86']
Studierende Aktivierungsfachperson,['service.111.118']
Fachfrau Aktivierung,['service.111.118']
Employé Espace Enfants,['service.120.125']
Nanny,['admin.9.17']
F achmitarbeiter,['service.126.127']
Unterhaltsfachmann von Gleisanlagen,['tech.81.86']
Operation Manager* Import / Export Luftfracht,['admin.35.39']
Studienplatz Ausbildung dipl. Pflegefachperson,['service.111.115']
Aushilfe,['tech.89.94']
Pflegefachpersonen,['service.111.115']
Ausbildung als Fachmann Gesundheit EFZ ab August 2023,['service.111.115']
"Primarlehrperson, im",['service.120.123']
Fachfrau / Fachmann Gesundheit EFZ  Assistentin / Assistent Gesundheit und Soziales EBA Wohnen Erwachsene,['admin.2.3']
Lehrstelle als Fachmann Betreuung EFZ,['service.111.116']
FACHFRAU OPERATIONSTECHNIK / TOA,['service.111.113']
BERUFSBILDNERIN FAGE Pflegedienst Medizin,['admin.2.4']
Klassenassistenz   Fachmann Betreuung,['service.111.116']
"Lehrstelle als Fachmann Hauswirtschaft EFZ  EBA, Lindau 2023",['service.126.134']
Lernende Fachfrau/Fachmann Betriebsunterhalt EFZ,['tech.81.86']
"FAGE / BERUFSBILDNERIN Orthopädische, urologische und geronto-traumatologische Bettenstation",['admin.2.4']
HR Assistenz,['admin.2.3']
Fachfrau Gesundheit mit Zusatzfunktion Berufsbildner,['admin.2.4']
Leiter Finanzen & Administration,['admin.9.2024']
BERUFSBILDNERIN FAGE,['service.111.115']
Dipl. Pflegefachkraft,['service.111.116']
Product Manager,['admin.40.36']
Mitarbeiter Kinderparadies,['service.120.125']
Fachfrau/Fachmann Gesundheit Geriatrie,['service.111.116']
Fachfrau / Fachmann Rechnungswesen / Treuhand,['admin.9.17']
Treuhänder mit eidg. Fachausweis,['admin.9.17']
Case Manager,['admin.20.33']
Fachmann Gesundheit,['service.111.116']
Teamleiter,['admin.9.2024']
Fachmann Betreuung,['service.111.116']
Fachfrau / Fachmann Stationshotellerie,['service.111.115']
Revierleiter Pensum,['service.111.115']
Dipl. Radiologiefachfrau,['service.111.113']
Zolldeklarant,['service.140.144']
Leiter Weiterbildung Gesundheit,['service.111.118']
Chef-fe de projets urbains,['tech.89.93']
Extra Serveur / Chef de Rang,['service.126.129']
Lehrperson Biologie und Chemie,['service.120.123']
Lehrperson internen Schulunterricht,['service.120.121']
Fachlehrperson Französisch,['service.120.123']
Lehrperson,['service.120.123']
Schulleiterin / Schulleiter,['service.120.123']
Lehrperson an der 6. Klasse Primarstufe,['service.120.123']
Zentral: Klassenlehrperson der 1. Klasse,['service.120.123']
"Lehrperson 5./6. Klasse, Zyklus II, Erlen",['service.120.123']
Educateur,['service.126.135']
Heilpädagogische Lehrperson Primarstufe,['service.120.123']
Stellvertretung Primarlehrperson 5. Klasse,['service.120.123']
Heilpädagogin,['service.120.124']
Primarlehrperson mit Klassenverantwortung,['service.120.123']
Fachlehrperson Französisch Primar,['service.120.123']
Vorpraktikantin / Vorpraktikant,['service.111.115']
Berufskundelehrperson Zeichner ZFA,['tech.89.90']
Lehrperson Englisch,['service.120.123']
Klassenlehrperson 28 Lektionen,['service.120.123']
Middle School German and French Teacher,['service.120.123']
Lehrperson Sport,['service.120.123']
Lehrperson Physik Stellvertretung,['service.120.122']
Klassenlehrperson 5. Klasse 15.2 Lektionen,['service.120.123']
Fellowship Schulinformatik,['service.111.1283']
Stellvertretung 8L IF,['service.120.123']
Team Manager Rostering,['tech.101.109']
Customer Support Engineer,['tech.72.2032']
Hochschulpraktikant Bereich Informationsoperationen,['service.120.121']
Banking Operations Specialist Middle Office,['admin.20.23']
Middle Office Specialist,['admin.20.23']
Senior Data Modeler,['tech.53.56']
Senior Project Manager for E-Banking,['admin.20.150']
Backend Develo,['tech.53.56']
Senior Data Architect,['tech.53.56']
Fachperson Gesundheit EFZ und Pflegehelfer,['service.111.116']
EC Auxiliaire polyvalent,['service.111.115']
BetreuerIn / CAREGiver,['service.111.116']
RN - RS Auxiliaire polyvalent,['service.111.115']
Pflegehilfe SRK und Fachperson Gesundheit EFZ,['service.111.116']
Pflegehelfer,['service.111.116']
Auxiliaire de santé CRS,['service.111.115']
Pflegehelferin / Pflegehelfer,['service.111.115']
Mitarbeiter Pflege,['service.111.115']
Warranty and Recourse Manager,['tech.72.2032']
Planning and master data team leader,['tech.72.151']
Avaloq Parametrierer Core Banking,['tech.53.59']
Autolackierer,['tech.101.103']
Sales Engineer,['admin.45.156']
Leiter After Sales / Serviceberater,['tech.101.102']
Apprenti mécaniciens en maintenance d'automobiles CFC Spécialisation  Véhicules légers,['tech.101.102']
Werkstattleiter,['tech.81.86']
Automobil-Mechatroniker mit Potenzial zum Automobildiagnostiker,['tech.101.102']
Lehrstelle als Automobil-Mechatronikerin/Automobil-Mechatroniker EFZ,['tech.81.85']
Automobil-Mechatroniker EFZ,['tech.101.102']
Automobilmechatroniker,['tech.101.102']
Automobil-Mechatroniker,['tech.101.102']
Automobilmechatroniker / Lastwagenmechatroniker / Landmaschinenmechaniker,['tech.81.85']
AutomobilmechatronikerIn,['tech.101.102']
Automechaniker,['tech.101.102']
Mechaniker im Schienenfahrzeugunterhalt,['tech.81.87']
Automatiker,['tech.81.83']
Kundenberater Ersatzteile,['admin.45.49']
Automatiker DRINGEND,['tech.81.87']
Automobil Mechatroniker,['tech.101.102']
Sachbearbeiter Finanzbuchhaltung,['admin.9.2024']
Automobil Mechatroniker  Diagnostiker,['tech.101.102']
SPS Programmierer / Softwareentwickler,['tech.72.73']
Leiter Tarifstrukturen,['admin.20.25']
Modeberaterin,['admin.45.47']
Konditor-Confiseur / Bäcker-Konditor EFZ,['service.126.128']
Sales Enablement Specialist,['admin.40.41']
Servicetechniker Region Mittelland,['tech.81.87']
SachbearbeiterIn Corporate Actions / Valorenzentrale,['admin.20.25']
Store Manager,['admin.45.47']
Pannen- und Unfallhelfer Autohilfe,['tech.101.102']
Wissenschaftliche Mitarbeiter Umwelt - Klima - Energie,['admin.2.6']
Techniker Gebenstorf,['tech.101.102']
Automobilfachmann,['tech.101.102']
Service Assistent / stv. Kundendienstberater,['tech.101.102']
Mitarbeiter Planung,['admin.35.38']
Betriebselektriker / Betriebselektrikerin,['tech.72.73']
Pneumonteur,['tech.101.102']
